prob_decile,n,positives,precision,recall,avg_prob
6,23,19,0.8260869565217391,1.0,0.8256802965765414
5,22,12,0.6470588235294118,0.9166666666666666,0.5457321868701415
4,22,6,0.0,0.0,0.35263007387349554
3,23,5,0.0,0.0,0.25249472098506015
2,17,2,0.0,0.0,0.16213115343057058
1,18,2,0.0,0.0,0.12471421497563522
0,99,2,0.0,0.0,0.0198245387260962
