threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,roc_auc,utility
0.112,46,77,2,99,0.37398373983739835,0.9583333333333334,0.5380116959064327,0.6473214285714286,0.8893229166666666,1915.0
0.114,45,77,3,99,0.36885245901639346,0.9375,0.5294117647058824,0.6428571428571429,0.8893229166666666,1865.0
0.116,45,77,3,99,0.36885245901639346,0.9375,0.5294117647058824,0.6428571428571429,0.8893229166666666,1865.0
0.11800000000000001,45,77,3,99,0.36885245901639346,0.9375,0.5294117647058824,0.6428571428571429,0.8893229166666666,1865.0
0.12,45,77,3,99,0.36885245901639346,0.9375,0.5294117647058824,0.6428571428571429,0.8893229166666666,1865.0
0.122,45,77,3,99,0.36885245901639346,0.9375,0.5294117647058824,0.6428571428571429,0.8893229166666666,1865.0
0.124,45,77,3,99,0.36885245901639346,0.9375,0.5294117647058824,0.6428571428571429,0.8893229166666666,1865.0
0.126,45,77,3,99,0.36885245901639346,0.9375,0.5294117647058824,0.6428571428571429,0.8893229166666666,1865.0
0.128,45,77,3,99,0.36885245901639346,0.9375,0.5294117647058824,0.6428571428571429,0.8893229166666666,1865.0
0.13,44,61,4,115,0.41904761904761906,0.9166666666666666,0.5751633986928104,0.7098214285714286,0.8893229166666666,1895.0
0.132,43,61,5,115,0.41346153846153844,0.8958333333333334,0.5657894736842105,0.7053571428571429,0.8893229166666666,1845.0
0.134,43,61,5,115,0.41346153846153844,0.8958333333333334,0.5657894736842105,0.7053571428571429,0.8893229166666666,1845.0
0.136,43,61,5,115,0.41346153846153844,0.8958333333333334,0.5657894736842105,0.7053571428571429,0.8893229166666666,1845.0
0.138,43,61,5,115,0.41346153846153844,0.8958333333333334,0.5657894736842105,0.7053571428571429,0.8893229166666666,1845.0
0.14,43,61,5,115,0.41346153846153844,0.8958333333333334,0.5657894736842105,0.7053571428571429,0.8893229166666666,1845.0
0.14200000000000002,43,61,5,115,0.41346153846153844,0.8958333333333334,0.5657894736842105,0.7053571428571429,0.8893229166666666,1845.0
0.14400000000000002,43,60,5,116,0.4174757281553398,0.8958333333333334,0.5695364238410596,0.7098214285714286,0.8893229166666666,1850.0
