fold,auc,acc,prec,rec,f1,best_thresh,best_iter
1,0.9257142857142857,0.9111111111111111,0.7142857142857143,1.0,0.8333333333333334,0.2238210290670395,181
2,0.9057142857142857,0.8888888888888888,0.8571428571428571,0.6,0.7058823529411765,0.7724574208259583,62
3,0.8442857142857142,0.8222222222222222,0.5625,0.9,0.6923076923076923,0.459516704082489,4
4,0.9171122994652406,0.8666666666666667,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.3886394202709198,79
5,0.9131016042780749,0.8888888888888888,0.875,0.6363636363636364,0.7368421052631579,0.5394258499145508,4
