number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iter,user_attrs_mean_recall,state
38,0.8061002178649237,2025-08-23 19:18:54.546140,2025-08-23 19:18:56.394079,0 days 00:00:01.847939,0.6821305792054182,4.549898229204244,0.04290087325281012,6,10,0.5620732601385812,0.2651062683875184,0.6305806327139883,1000,0.8061002178649237,COMPLETE
39,0.7298474945533768,2025-08-23 19:18:56.401852,2025-08-23 19:18:58.226589,0 days 00:00:01.824737,0.9338264328484719,3.793388117055545,0.06919765312852912,9,16,0.015380666912771193,0.00032840086960494514,0.5129621599154505,1000,0.7298474945533768,COMPLETE
40,0.7886710239651417,2025-08-23 19:18:58.232359,2025-08-23 19:19:00.247051,0 days 00:00:02.014692,0.5628306167520897,1.6724113584180027,0.003262876656677447,8,19,0.00011625483811102104,1.4825130277260704e-05,0.8435785316061787,1000,0.7886710239651417,COMPLETE
41,0.8856209150326797,2025-08-23 19:19:00.254822,2025-08-23 19:19:02.551965,0 days 00:00:02.297143,0.5858409833091893,3.2893006983554827,0.0012592555113706278,7,15,0.057686595976030514,0.11774291473857666,0.9158130126952235,1000,0.8856209150326797,COMPLETE
42,0.8464052287581699,2025-08-23 19:19:02.561312,2025-08-23 19:19:04.851868,0 days 00:00:02.290556,0.6104914339757286,3.059411722124083,0.001050345537065128,7,12,0.09754001952088859,0.055348530066746504,0.8851955798569302,1000,0.8464052287581699,COMPLETE
43,0.789760348583878,2025-08-23 19:19:04.859893,2025-08-23 19:19:06.702398,0 days 00:00:01.842505,0.6547411186388515,2.809913132025409,0.2722526233780554,8,13,0.004831163732783873,0.502130136297565,0.9609935992190486,1000,0.789760348583878,COMPLETE
44,0.8267973856209151,2025-08-23 19:19:06.710071,2025-08-23 19:19:08.726588,0 days 00:00:02.016517,0.5729237804805243,3.3319122284392426,0.0019917173424447016,6,18,0.6775146022134063,0.007272732229202029,0.9361700879347304,1000,0.8267973856209151,COMPLETE
45,0.8267973856209151,2025-08-23 19:19:08.735113,2025-08-23 19:19:10.709668,0 days 00:00:01.974555,0.48652042163797937,2.0424354930608506,0.0014721284478400858,7,16,3.7685531848959095,0.06203808173635053,0.7861739200715847,1000,0.8267973856209151,COMPLETE
46,0.8267973856209151,2025-08-23 19:19:10.717202,2025-08-23 19:19:12.782506,0 days 00:00:02.065304,0.4425232312445419,3.6789256001127457,0.0013400217503686778,8,14,0.0022927566424883303,2.683785488311166,0.867933756425361,1000,0.8267973856209151,COMPLETE
47,0.8267973856209151,2025-08-23 19:19:12.788525,2025-08-23 19:19:14.785675,0 days 00:00:01.997150,0.6225435371366999,4.1840404348909255,0.002434931561110946,5,12,1.1330064614006322e-08,0.7068375178303347,0.6001496681649635,1000,0.8267973856209151,COMPLETE
48,0.7494553376906318,2025-08-23 19:19:14.793703,2025-08-23 19:19:16.837681,0 days 00:00:02.043978,0.5351030147014113,0.0224179623513745,0.01710597515914017,6,15,0.2707436550890929,3.038307660784373e-07,0.899136027417595,1000,0.7494553376906318,COMPLETE
49,0.8464052287581699,2025-08-23 19:19:16.845456,2025-08-23 19:19:18.962887,0 days 00:00:02.117431,0.6545004908890069,3.145010755682395,0.0012760933553320089,7,11,0.027373832707174795,4.4536965536018664,0.8342677819631882,1000,0.8464052287581699,COMPLETE
